For v2 = (4, 10) we have next coords:
X1	Y1	X2	Y2
1.890000	1.894200	3.790000	1.894200	
1.980000	1.973620	3.780000	1.973620	
2.070000	2.052060	3.770000	2.052060	
2.160000	2.129520	3.760000	2.129520	
2.250000	2.206000	3.750000	2.206000	
2.340000	2.281500	3.740000	2.281500	
2.430000	2.356020	3.730000	2.356020	
2.520000	2.429560	3.720000	2.429560	
2.610000	2.502120	3.710000	2.502120	
2.700000	2.573700	3.700000	2.573700	
2.790000	2.644300	3.690000	2.644300	
2.880000	2.713920	3.680000	2.713920	
2.970000	2.782560	3.670000	2.782560	
3.060000	2.850220	3.660000	2.850220	
3.150000	2.916900	3.650000	2.916900	
3.240000	2.982600	3.640000	2.982600	
3.330000	3.047320	3.630000	3.047320	
3.420000	3.111060	3.620000	3.111060	
3.510000	3.173820	3.610000	3.173820	
3.600000	3.235600	3.600000	3.235600	
